No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
1;0;192.168.3.9;36.92.238.205;TCP;66;54564  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;1,003,339;0;1,003,339;2,015,429;1,012,090
2;1,003,339;192.168.3.9;36.92.238.205;TCP;66;[TCP Retransmission] 54564  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;3,018,768;1,003,339;2,015,429;4,012,378;1,996,949
3;3,018,768;192.168.3.9;36.92.238.205;TCP;66;[TCP Retransmission] 54564  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;7,031,146;3,018,768;4,012,378;1,067,810;2,944,568
4;7,031,146;192.168.3.9;36.92.238.205;TCP;66;[TCP Retransmission] 54564  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;8,098,956;7,031,146;1,067,810;114;1,067,696
7;8,098,956;104.111.13.145;192.168.3.9;TCP;60;443  >  54545 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,070;8,098,956;114;247;133
8;8,099,070;192.168.3.9;104.111.13.145;TCP;54;54545  >  443 [ACK] Seq=2120381799 Ack=2925055854 Win=512 Len=0;;;;;;;;;;;;;;;8,099,317;8,099,070;247;0;247
9;8,099,317;104.111.13.145;192.168.3.9;TCP;60;443  >  54546 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,317;8,099,317;0;0;0
10;8,099,317;104.111.13.145;192.168.3.9;TCP;60;443  >  54548 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,317;8,099,317;0;54;54
11;8,099,317;104.111.13.145;192.168.3.9;TCP;60;443  >  54547 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,371;8,099,317;54;68;14
12;8,099,371;192.168.3.9;104.111.13.145;TCP;54;54546  >  443 [ACK] Seq=1568210938 Ack=3165509870 Win=508 Len=0;;;;;;;;;;;;;;;8,099,439;8,099,371;68;61;7
13;8,099,439;192.168.3.9;104.111.13.145;TCP;54;[TCP ACKed unseen segment] 54548  >  443 [ACK] Seq=1253586767 Ack=35647846 Win=508 Len=0;;;;;;;;;;;;;;;8,099,500;8,099,439;61;400;339
14;8,099,500;192.168.3.9;104.111.13.145;TCP;54;54547  >  443 [ACK] Seq=2364491118 Ack=2755562595 Win=508 Len=0;;;;;;;;;;;;;;;8,099,900;8,099,500;400;0;400
15;8,099,900;104.111.13.145;192.168.3.9;TCP;60;443  >  54549 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,900;8,099,900;0;0;0
16;8,099,900;104.111.13.145;192.168.3.9;TCP;60;443  >  54553 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,900;8,099,900;0;0;0
17;8,099,900;104.111.13.145;192.168.3.9;TCP;60;443  >  54551 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,900;8,099,900;0;71;71
18;8,099,900;104.111.13.145;192.168.3.9;TCP;60;443  >  54555 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;8,099,971;8,099,900;71;92;21
19;8,099,971;192.168.3.9;104.111.13.145;TCP;54;[TCP ACKed unseen segment] 54549  >  443 [ACK] Seq=1935007941 Ack=2134217802 Win=508 Len=0;;;;;;;;;;;;;;;8,100,063;8,099,971;92;67;25
20;8,100,063;192.168.3.9;104.111.13.145;TCP;54;[TCP ACKed unseen segment] 54553  >  443 [ACK] Seq=1978751350 Ack=134394127 Win=509 Len=0;;;;;;;;;;;;;;;8,100,130;8,100,063;67;;
21;8,100,130;192.168.3.9;104.111.13.145;TCP;54;[TCP ACKed unseen segment] 54551  >  443 [ACK] Seq=2823684105 Ack=617081388 Win=509 Len=0;;;;;;;;;;;;;;;;tot delay;8,100,130;tot jitter;7,022,614
22;8,100,192;192.168.3.9;104.111.13.145;TCP;54;[TCP ACKed unseen segment] 54555  >  443 [ACK] Seq=1079752815 Ack=367135293 Win=509 Len=0;;;;;;;;;;;;;;;;rat delay;245,458;rat jitter;212806.4848
23;8,106,359;40.90.189.152;192.168.3.9;TCP;60;443  >  54538 [ACK] Seq=1 Ack=1 Win=6430 Len=0;;;;;;;;;;;;;;;;;;;
24;8,106,477;192.168.3.9;40.90.189.152;TCP;54;[TCP ACKed unseen segment] 54538  >  443 [ACK] Seq=3016130410 Ack=1350188948 Win=509 Len=0;;;;;;;;;;;;;;;;;;;
27;10,090,090;13.107.42.12;192.168.3.9;TCP;60;443  >  54543 [ACK] Seq=1 Ack=1 Win=520 Len=0;;;;;;;;;;;;;;;;;;;
28;10,090,223;192.168.3.9;13.107.42.12;TCP;54;[TCP ACKed unseen segment] 54543  >  443 [ACK] Seq=3834133807 Ack=1323064736 Win=1024 Len=0;;;;;;;;;;;;;;;;;;;
29;10,092,529;104.111.13.145;192.168.3.9;TCP;60;443  >  54556 [ACK] Seq=1 Ack=1 Win=62720 Len=0;;;;;;;;;;;;;;;;;;;
30;10,092,643;192.168.3.9;104.111.13.145;TCP;54;[TCP ACKed unseen segment] 54556  >  443 [ACK] Seq=856632568 Ack=2096418650 Win=509 Len=0;;;;;;;;;;;;;;;;;;;
33;15,046,442;192.168.3.9;36.92.238.205;TCP;66;[TCP Retransmission] 54564  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;
